"CSHP-2008-Estecio-pdb.prot4974.txt","1","<!>DMSO (see note at Step 10)"," -PAh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>LowC dNTP mix (10X)"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>MCA reaction buffer (10X)"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>MCAM wash solution 1"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>SSC (20X)"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<!>Phenol:chloroform (1.5:1 [v/v]; pH 9.0)"," -PAh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>Prehybridization solution for MCAM"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>React2 buffer (10X)"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","2","<R>TE buffer (pH 8.0)"," -PRh(Appendix)"
"CSHP-2008-Estecio-pdb.prot4974.txt","3","This method was adapted from an original protocol by Toyota et al. (1999)."," -PXh(Toyota et al 1999)"
"CSHP-2008-Estecio-pdb.prot4974.txt","4","Combine PCR products of replicate samples and purify them using the QIAquick PCR Purification kit according to the manufacturer’s recommendation"," -MBh(QIAquick PCR Purification kit Mfr. recomm)"
"CSHP-2008-Estecio-pdb.prot4974.txt","6","The use of methylation-sensitive enzymes with frequent cutting sites, for example, HpaII/MspI (Hatada et al. 2006), results in a high genome fraction for amplification."," -PCh(Hatada et al. 2006)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","These platforms can be used for a variety of studies, including ChIP-Seq (Barski et al. 2007; Johnson et al. 2007; Mikkelsen et al. 2007; Robertson et al. 2007)"," -PSh(ChIP-Seq (Barski et al. 2007; Johnson et al. 2007; Mikkelsen et al. 2007; Robertson et al. 2007))"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","nucleosome position profiling (Schones et al. 2008)"," -PSh(Schones et al 2008)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","transcriptome profiling (RNA-Seq) (Mortazavi et al. 2008; Nagalakshmi et al. 2008)"," -PSh(Mortazavi et al 2008 and Nagalakshmi et al 2008)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","DNA methylation studies (Cokus et al. 2008)"," -PSh(Cokus et al 2008)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","SNP genotyping"," -LS"
"CSHP-2009-Cuddapah-prd.prot5237.txt","1","Use of this protocol to analyze histone modification patterns is described in Barski et al. (2007) and Wang et al. (2008)."," -PSh(Barki et al 2007 and Wang et al 2008)."
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>LiCl buffer for ChIP"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>MNase digestion buffer for ChIP"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>MNase stop buffer for ChIP"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<!>Phenol:chloroform (1:1)"," -PAh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>Phosphate-buffered saline (PBS) (1X)"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>Protease inhibitor cocktail for ChIP (1000X)"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<!>Proteinase K (20 mg/mL) (Roche Diagnostics)"," -PAh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<R>RIPA buffer for ChIP"," -PRh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<!>SDS (sodium dodecyl sulfate) (10%)"," -PAh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","2","<!>Triton X-100"," -PAh(Appendix)"
"CSHP-2009-Cuddapah-prd.prot5237.txt","7","The DNA can be used for cluster generation using Illumina flow cells and sequencing-by-synthesis on an Illumina Genome Analyzer, following manufacturer’s instructions."," -MBh(Illumina Genome Analyzer Mfr. Instr)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","1","chromosome conformation capture (3C) (Dekker et al. 2002)"," -PXh(Dekker et al 2002)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<!>5-Bromo-4-chloro-3-indoyl-β-D-galactopyranoside (X-gal; 25 mg/mL in DMF [dimethylformamide])"," -PAh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>Bead eluting buffer"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>Cellular lysis solution"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>ChIP diluent"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<!>DNA gel stain (SYBR Safe, 10,000X concentrate in DMSO [dimethylsulfoxide]; Invitrogen)"," -PAh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<!>Formaldehyde solution (≥36.5%; Sigma-Aldrich 33220)"," -PAh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>Immune complex wash buffers (high-salt and low-salt) Prepare the high-salt and low-salt versions of this buffer separately"," -PRmh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<!>Isopropyl-β-D-thiogalactopyranoside (IPTG; 200 mg/mL)"," -PAh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>LB agar"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>LB-ampicillin agar plates"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>Alternatively, LB-kanamycin agar plates can be used (see Step 48)."," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>LB (Luria-Bertani) liquid medium"," -PRh(Appendix)"
"CSHP-2009-Tiwari-pdb.prot5168.txt","2","<R>Ligation buffer (10X)"," -PRh(Appendix)"
